"host_state";"host";"alias";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending"
"UP";"s6480";"VCSA: vCenter Virtual Appliance";"menu";"59";"0";"0";"0";"0"
"UP";"s7054";"Cluster BE_INT. Location Dammweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7055";"Cluster BE_INT. Location Zentweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7056";"Cluster BE_INT. Location Dammweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7057";"Cluster BE_INT. Location Zentweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7058";"Cluster BE_INT. Location Dammweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7059";"Cluster BE_INT. Location Zentweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7060";"Cluster BE_INT. Location Dammweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7061";"Cluster BE_INT. Location Zentweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7062";"Cluster BE_INT. Location Dammweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7063";"Cluster BE_INT. Location Zentweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7298";"Cluster BE_DMZ. Location Dammweg.";"menu";"17";"0";"0";"0";"0"
"UP";"s7299";"Cluster BE_DMZ. Location Zentweg.";"menu";"17";"0";"0";"0";"0"
"UP";"s7300";"Cluster BE_DMZ. Location Dammweg.";"menu";"17";"0";"0";"0";"0"
"UP";"s7301";"Cluster BE_DMZ. Location Zentweg.";"menu";"17";"0";"0";"0";"0"
"UP";"s7302";"Cluster BE_INT. Location Dammweg.";"menu";"15";"0";"0";"0";"0"
"UP";"s7303";"Cluster BE_INT. Location Zentweg.";"menu";"15";"0";"0";"0";"0"
"UP";"BUCTXOff2K7";"Citrix Office";"menu";"17";"0";"0";"0";"0"
"UP";"BUOFF2K3PRO01";"Citrix Office";"menu";"17";"0";"0";"0";"0"
"UP";"BUOFF2K7STD01";"Citrix Office";"menu";"17";"0";"0";"0";"0"
"UP";"s6331";"Cluster LS_INT. Location Bussigny.";"menu";"14";"0";"0";"0";"0"
"UP";"s6332";"Cluster LS_INT. Location Lausanne.";"menu";"14";"0";"0";"0";"0"
"UP";"s6333";"Cluster LS_INT. Location Bussigny.";"menu derived_downtime";"14";"0";"0";"0";"0"
"UP";"s6334";"Cluster LS_INT. Location Lausanne.";"menu derived_downtime";"13";"0";"0";"1";"0"
"UP";"s6480-vd";"vCenter MediaIT";"menu";"32";"0";"0";"0";"0"
