"host_state";"host";"alias";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending"
"UP";"S6500";"Citrix Worker SAP Arts";"menu";"18";"0";"0";"0";"0"
"UP";"S6503";"Citrix Worker SAP Arts";"menu";"18";"0";"0";"0";"0"
"UP";"S6622";"Citrix Worker Methode MET03";"menu";"18";"0";"0";"0";"0"
"UP";"S6623";"Citrix Worker Methode MET03";"menu";"18";"0";"0";"0";"0"
"UP";"S6984";"Citrix Worker WWEditorStd TAG";"menu";"18";"0";"0";"0";"0"
"UP";"S6985";"Citrix Worker WWEditorStd TAG";"menu";"18";"0";"0";"0";"0"
"UP";"S6987";"Citrix Worker WWEditorStd BUND";"menu";"18";"0";"0";"0";"0"
"UP";"S6988";"Citrix Worker WWEditorStd BUND";"menu";"18";"0";"0";"0";"0"
"UP";"S6990";"Citrix Worker WWEditorStd SOZ";"menu";"18";"0";"0";"0";"0"
"UP";"S6991";"Citrix Worker WWEditorStd SOZ";"menu";"18";"0";"0";"0";"0"
"UP";"S7193";"Citrix Worker Methode METH05";"menu";"18";"0";"0";"0";"0"
"UP";"S7194";"Citrix Worker Methode METH05";"menu";"18";"0";"0";"0";"0"
"UP";"S7195";"Citrix Worker Methode METH05";"menu";"18";"0";"0";"0";"0"
"UP";"S7264";"Citrix Worker WWEditorStd FUW";"menu";"18";"0";"0";"0";"0"
"UP";"S7265";"Citrix Worker WWEditorStd FUW";"menu";"18";"0";"0";"0";"0"
"UP";"S7355";"Citrix Worker DEV";"menu";"18";"0";"0";"0";"0"
"UP";"S7356";"Citrix Worker DEV";"menu";"18";"0";"0";"0";"0"
"UP";"apps.mediait.ch";"Citrix Receiver";"menu pnp";"1";"0";"0";"0";"0"
"UP";"s6117";"Citrix Web Interface 1";"menu";"17";"0";"0";"0";"0"
"UP";"s6118";"Citrix Web Interface 2";"menu";"17";"0";"0";"0";"0"
"UP";"s6264";"VMware vShield Manager";"menu";"1";"0";"0";"0";"0"
"UP";"s6481";"Citrix Storefront 1";"menu";"17";"0";"0";"0";"0"
"UP";"s6482";"Citrix Storefront 2";"menu";"17";"0";"0";"0";"0"
"UP";"s6491";"Citrix Delivery Controller 1";"menu";"17";"0";"0";"0";"0"
"UP";"s6492";"Citrix Delivery Controller 2";"menu";"17";"0";"0";"0";"0"
"UP";"s6501";"DSR: Deep Security Relay";"menu";"18";"0";"0";"0";"0"
"UP";"s6733";"MSRL-Server(Mess-, Regel-, und Leittechnik Gebäudeautomation)";"menu";"13";"0";"0";"0";"0"
"UP";"s7049";"Alarmserver Bubenberg";"menu";"15";"0";"0";"0";"0"
"UP";"s7380";"Trend Micro Deep Security Manager Node 1";"menu";"17";"0";"0";"0";"0"
"UP";"s7387";"Trend Micro Deep Security Manager Node 2";"menu";"17";"0";"0";"0";"0"
"UP";"s7397";"Acronis";"menu";"17";"0";"0";"0";"0"
"UP";"BUCTXIMAWI01";"Web interface and SQL IMA DB";"menu";"82";"0";"0";"0";"0"
"UP";"BUCatrin01";"Serveur Citrix application Catrin";"menu";"17";"0";"0";"0";"0"
"UP";"DENGAR";"Applications Citrix";"menu";"20";"0";"0";"0";"0"
"UP";"FISTO";"Applications Citrix";"menu";"20";"0";"0";"0";"0"
"UP";"LSCTXI01";"Citrix Xenapp 6.5 WIanddatabase IMA";"menu";"86";"0";"0";"0";"0"
"UP";"LSCTXI02";"Citrix Xenapp 6.5 WIandlicenses CTX";"menu";"17";"0";"0";"0";"0"
"UP";"LSTSLIC01";"Serveur de licenses TS CAL";"menu";"17";"0";"0";"0";"0"
